POSIÇÃO INICIAL: 50
================================
Movimento: L4      | 50 -> 46 
Movimento: R72     | 62 -> 34 
Movimento: L18     | 34 -> 16 
Movimento: R431    | 16 -> 47 
Movimento: L626    | 47 -> 21 
Movimento: R79     | 21 -> 00 <-- ZERO
Movimento: R665    | 00 -> 65 
Movimento: R552    | 65 -> 17 
Movimento: L32     | 17 -> 85 
Movimento: R40     | 85 -> 25 
Movimento: L1      | 25 -> 24 
Movimento: R299    | 24 -> 23 
Movimento: R77     | 23 -> 00 <-- ZERO
Movimento: L53     | 00 -> 47 
Movimento: L45     | 47 -> 02 
Movimento: R98     | 02 -> 00 <-- ZERO
Movimento: R29     | 00 -> 29 
Movimento: L54     | 29 -> 75 
Movimento: L61     | 75 -> 14 
Movimento: R73     | 14 -> 87 
Movimento: R613    | 87 -> 00 <-- ZERO
Movimento: L60     | 00 -> 40 
Movimento: R282    | 40 -> 22 
Movimento: L49     | 22 -> 73 
Movimento: L273    | 73 -> 00 <-- ZERO
Movimento: L88     | 00 -> 12 
Movimento: R54     | 12 -> 66 
Movimento: L71     | 66 -> 95 
Movimento: R5      | 95 -> 00 <-- ZERO
Movimento: R59     | 00 -> 59 
Movimento: R41     | 59 -> 00 <-- ZERO
Movimento: R36     | 00 -> 36 
Movimento: L8      | 36 -> 28 
Movimento: R69     | 28 -> 97 
Movimento: L97     | 97 -> 00 <-- ZERO
Movimento: L72     | 00 -> 28 
Movimento: L28     | 28 -> 00 <-- ZERO
Movimento: L23     | 00 -> 77 
Movimento: R23     | 77 -> 00 <-- ZERO
Movimento: R12     | 00 -> 12 
Movimento: L420    | 12 -> 92 
Movimento: L92     | 92 -> 00 <-- ZERO
Movimento: L29     | 00 -> 71 
Movimento: R17     | 71 -> 88 
Movimento: L71     | 88 -> 17 
Movimento: R61     | 17 -> 78 
Movimento: R78     | 78 -> 56 
Movimento: R8      | 56 -> 64 
Movimento: L82     | 64 -> 82 
Movimento: L82     | 82 -> 00 <-- ZERO
Movimento: R54     | 00 -> 54 
Movimento: R725    | 54 -> 79 
Movimento: R521    | 79 -> 00 <-- ZERO
Movimento: R8      | 00 -> 08 
Movimento: L983    | 08 -> 25 
Movimento: R21     | 25 -> 46 
Movimento: R54     | 46 -> 00 <-- ZERO
Movimento: L42     | 00 -> 58 
Movimento: R55     | 58 -> 13 
Movimento: L13     | 13 -> 00 <-- ZERO
Movimento: R16     | 00 -> 16 
Movimento: R684    | 16 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L610    | 10 -> 00 <-- ZERO
Movimento: L27     | 00 -> 73 
Movimento: R27     | 73 -> 00 <-- ZERO
Movimento: L21     | 00 -> 79 
Movimento: L37     | 79 -> 42 
Movimento: L78     | 42 -> 64 
Movimento: R49     | 64 -> 13 
Movimento: L13     | 13 -> 00 <-- ZERO
Movimento: R73     | 00 -> 73 
Movimento: R62     | 73 -> 35 
Movimento: R53     | 35 -> 88 
Movimento: L88     | 88 -> 00 <-- ZERO
Movimento: L92     | 00 -> 08 
Movimento: R57     | 08 -> 65 
Movimento: L65     | 65 -> 00 <-- ZERO
Movimento: R98     | 00 -> 98 
Movimento: R2      | 98 -> 00 <-- ZERO
Movimento: R25     | 00 -> 25 
Movimento: R75     | 25 -> 00 <-- ZERO
Movimento: R14     | 00 -> 14 
Movimento: R27     | 14 -> 41 
Movimento: R759    | 41 -> 00 <-- ZERO
Movimento: R6      | 00 -> 06 
Movimento: L19     | 06 -> 87 
Movimento: L31     | 87 -> 56 
Movimento: L719    | 56 -> 37 
Movimento: L167    | 37 -> 70 
Movimento: R76     | 70 -> 46 
Movimento: L84     | 46 -> 62 
Movimento: L63     | 62 -> 99 
Movimento: R1      | 99 -> 00 <-- ZERO
Movimento: R89     | 00 -> 89 
Movimento: R22     | 89 -> 11 
Movimento: R125    | 11 -> 36 
Movimento: L92     | 36 -> 44 
Movimento: L44     | 44 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: L94     | 01 -> 07 
Movimento: R39     | 07 -> 46 
Movimento: R17     | 46 -> 63 
Movimento: L63     | 63 -> 00 <-- ZERO
Movimento: L15     | 00 -> 85 
Movimento: R313    | 85 -> 98 
Movimento: R29     | 98 -> 27 
Movimento: R10     | 27 -> 37 
Movimento: L237    | 37 -> 00 <-- ZERO
Movimento: R15     | 00 -> 15 
Movimento: R8      | 15 -> 23 
Movimento: L62     | 23 -> 61 
Movimento: L28     | 61 -> 33 
Movimento: R602    | 33 -> 35 
Movimento: L423    | 35 -> 12 
Movimento: R35     | 12 -> 47 
Movimento: L47     | 47 -> 00 <-- ZERO
Movimento: L28     | 00 -> 72 
Movimento: R28     | 72 -> 00 <-- ZERO
Movimento: R13     | 00 -> 13 
Movimento: L691    | 13 -> 22 
Movimento: R79     | 22 -> 01 
Movimento: L1      | 01 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: R83     | 17 -> 00 <-- ZERO
Movimento: R16     | 00 -> 16 
Movimento: R56     | 16 -> 72 
Movimento: L750    | 72 -> 22 
Movimento: R78     | 22 -> 00 <-- ZERO
Movimento: L49     | 00 -> 51 
Movimento: L75     | 51 -> 76 
Movimento: L33     | 76 -> 43 
Movimento: R57     | 43 -> 00 <-- ZERO
Movimento: L763    | 00 -> 37 
Movimento: L7      | 37 -> 30 
Movimento: R59     | 30 -> 89 
Movimento: L1      | 89 -> 88 
Movimento: R512    | 88 -> 00 <-- ZERO
Movimento: R53     | 00 -> 53 
Movimento: L53     | 53 -> 00 <-- ZERO
Movimento: L55     | 00 -> 45 
Movimento: L45     | 45 -> 00 <-- ZERO
Movimento: L30     | 00 -> 70 
Movimento: L70     | 70 -> 00 <-- ZERO
Movimento: L76     | 00 -> 24 
Movimento: R855    | 24 -> 79 
Movimento: L579    | 79 -> 00 <-- ZERO
Movimento: L22     | 00 -> 78 
Movimento: R24     | 78 -> 02 
Movimento: R98     | 02 -> 00 <-- ZERO
Movimento: R24     | 00 -> 24 
Movimento: L24     | 24 -> 00 <-- ZERO
Movimento: R329    | 00 -> 29 
Movimento: R20     | 29 -> 49 
Movimento: L501    | 49 -> 48 
Movimento: R48     | 48 -> 96 
Movimento: L36     | 96 -> 60 
Movimento: L88     | 60 -> 72 
Movimento: L80     | 72 -> 92 
Movimento: R58     | 92 -> 50 
Movimento: R6      | 50 -> 56 
Movimento: R44     | 56 -> 00 <-- ZERO
Movimento: R36     | 00 -> 36 
Movimento: R64     | 36 -> 00 <-- ZERO
Movimento: L54     | 00 -> 46 
Movimento: L548    | 46 -> 98 
Movimento: R2      | 98 -> 00 <-- ZERO
Movimento: R53     | 00 -> 53 
Movimento: L53     | 53 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: R159    | 41 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: R80     | 01 -> 81 
Movimento: L88     | 81 -> 93 
Movimento: L72     | 93 -> 21 
Movimento: R94     | 21 -> 15 
Movimento: L44     | 15 -> 71 
Movimento: R90     | 71 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: R61     | 00 -> 61 
Movimento: L479    | 61 -> 82 
Movimento: L790    | 82 -> 92 
Movimento: L792    | 92 -> 00 <-- ZERO
Movimento: L95     | 00 -> 05 
Movimento: L112    | 05 -> 93 
Movimento: R50     | 93 -> 43 
Movimento: L43     | 43 -> 00 <-- ZERO
Movimento: R93     | 00 -> 93 
Movimento: R307    | 93 -> 00 <-- ZERO
Movimento: R39     | 00 -> 39 
Movimento: L39     | 39 -> 00 <-- ZERO
Movimento: R992    | 00 -> 92 
Movimento: R8      | 92 -> 00 <-- ZERO
Movimento: R67     | 00 -> 67 
Movimento: R735    | 67 -> 02 
Movimento: L2      | 02 -> 00 <-- ZERO
Movimento: R56     | 00 -> 56 
Movimento: L86     | 56 -> 70 
Movimento: R179    | 70 -> 49 
Movimento: R22     | 49 -> 71 
Movimento: L919    | 71 -> 52 
Movimento: L21     | 52 -> 31 
Movimento: L634    | 31 -> 97 
Movimento: L97     | 97 -> 00 <-- ZERO
Movimento: R119    | 00 -> 19 
Movimento: L26     | 19 -> 93 
Movimento: R797    | 93 -> 90 
Movimento: R3      | 90 -> 93 
Movimento: L88     | 93 -> 05 
Movimento: L5      | 05 -> 00 <-- ZERO
Movimento: R49     | 00 -> 49 
Movimento: L57     | 49 -> 92 
Movimento: R8      | 92 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: L17     | 17 -> 00 <-- ZERO
Movimento: L48     | 00 -> 52 
Movimento: R222    | 52 -> 74 
Movimento: R26     | 74 -> 00 <-- ZERO
Movimento: L172    | 00 -> 28 
Movimento: L54     | 28 -> 74 
Movimento: R65     | 74 -> 39 
Movimento: R61     | 39 -> 00 <-- ZERO
Movimento: L90     | 00 -> 10 
Movimento: L20     | 10 -> 90 
Movimento: R10     | 90 -> 00 <-- ZERO
Movimento: L464    | 00 -> 36 
Movimento: R31     | 36 -> 67 
Movimento: L4      | 67 -> 63 
Movimento: L46     | 63 -> 17 
Movimento: R14     | 17 -> 31 
Movimento: L17     | 31 -> 14 
Movimento: R86     | 14 -> 00 <-- ZERO
Movimento: R15     | 00 -> 15 
Movimento: R85     | 15 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: R14     | 01 -> 15 
Movimento: L109    | 15 -> 06 
Movimento: L12     | 06 -> 94 
Movimento: R629    | 94 -> 23 
Movimento: R89     | 23 -> 12 
Movimento: L12     | 12 -> 00 <-- ZERO
Movimento: L261    | 00 -> 39 
Movimento: R5      | 39 -> 44 
Movimento: R56     | 44 -> 00 <-- ZERO
Movimento: R52     | 00 -> 52 
Movimento: L52     | 52 -> 00 <-- ZERO
Movimento: R91     | 00 -> 91 
Movimento: R25     | 91 -> 16 
Movimento: R84     | 16 -> 00 <-- ZERO
Movimento: R84     | 00 -> 84 
Movimento: L38     | 84 -> 46 
Movimento: R363    | 46 -> 09 
Movimento: L66     | 09 -> 43 
Movimento: L96     | 43 -> 47 
Movimento: L9      | 47 -> 38 
Movimento: L38     | 38 -> 00 <-- ZERO
Movimento: R57     | 00 -> 57 
Movimento: R77     | 57 -> 34 
Movimento: R3      | 34 -> 37 
Movimento: L37     | 37 -> 00 <-- ZERO
Movimento: L1      | 00 -> 99 
Movimento: R56     | 99 -> 55 
Movimento: L494    | 55 -> 61 
Movimento: R28     | 61 -> 89 
Movimento: L30     | 89 -> 59 
Movimento: R259    | 59 -> 18 
Movimento: L64     | 18 -> 54 
Movimento: L54     | 54 -> 00 <-- ZERO
Movimento: R74     | 00 -> 74 
Movimento: L374    | 74 -> 00 <-- ZERO
Movimento: R37     | 00 -> 37 
Movimento: L78     | 37 -> 59 
Movimento: L59     | 59 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: L933    | 41 -> 08 
Movimento: R92     | 08 -> 00 <-- ZERO
Movimento: L97     | 00 -> 03 
Movimento: L603    | 03 -> 00 <-- ZERO
Movimento: R52     | 00 -> 52 
Movimento: L87     | 52 -> 65 
Movimento: R4      | 65 -> 69 
Movimento: R59     | 69 -> 28 
Movimento: L29     | 28 -> 99 
Movimento: R1      | 99 -> 00 <-- ZERO
Movimento: R92     | 00 -> 92 
Movimento: R29     | 92 -> 21 
Movimento: R12     | 21 -> 33 
Movimento: L24     | 33 -> 09 
Movimento: R337    | 09 -> 46 
Movimento: R49     | 46 -> 95 
Movimento: L99     | 95 -> 96 
Movimento: L57     | 96 -> 39 
Movimento: R961    | 39 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: L49     | 69 -> 20 
Movimento: R80     | 20 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: L30     | 01 -> 71 
Movimento: R141    | 71 -> 12 
Movimento: R788    | 12 -> 00 <-- ZERO
Movimento: L30     | 00 -> 70 
Movimento: R30     | 70 -> 00 <-- ZERO
Movimento: L371    | 00 -> 29 
Movimento: R71     | 29 -> 00 <-- ZERO
Movimento: L20     | 00 -> 80 
Movimento: L680    | 80 -> 00 <-- ZERO
Movimento: L70     | 00 -> 30 
Movimento: R70     | 30 -> 00 <-- ZERO
Movimento: L595    | 00 -> 05 
Movimento: R95     | 05 -> 00 <-- ZERO
Movimento: R25     | 00 -> 25 
Movimento: L25     | 25 -> 00 <-- ZERO
Movimento: L66     | 00 -> 34 
Movimento: R54     | 34 -> 88 
Movimento: R12     | 88 -> 00 <-- ZERO
Movimento: R54     | 00 -> 54 
Movimento: R99     | 54 -> 53 
Movimento: L11     | 53 -> 42 
Movimento: R95     | 42 -> 37 
Movimento: L37     | 37 -> 00 <-- ZERO
Movimento: L78     | 00 -> 22 
Movimento: R178    | 22 -> 00 <-- ZERO
Movimento: L798    | 00 -> 02 
Movimento: L2      | 02 -> 00 <-- ZERO
Movimento: R354    | 00 -> 54 
Movimento: R78     | 54 -> 32 
Movimento: L96     | 32 -> 36 
Movimento: R64     | 36 -> 00 <-- ZERO
Movimento: L14     | 00 -> 86 
Movimento: L86     | 86 -> 00 <-- ZERO
Movimento: R44     | 00 -> 44 
Movimento: L26     | 44 -> 18 
Movimento: R82     | 18 -> 00 <-- ZERO
Movimento: L12     | 00 -> 88 
Movimento: L88     | 88 -> 00 <-- ZERO
Movimento: L98     | 00 -> 02 
Movimento: L14     | 02 -> 88 
Movimento: R1      | 88 -> 89 
Movimento: R68     | 89 -> 57 
Movimento: R11     | 57 -> 68 
Movimento: R95     | 68 -> 63 
Movimento: R43     | 63 -> 06 
Movimento: R94     | 06 -> 00 <-- ZERO
Movimento: R54     | 00 -> 54 
Movimento: L46     | 54 -> 08 
Movimento: R92     | 08 -> 00 <-- ZERO
Movimento: R67     | 00 -> 67 
Movimento: R33     | 67 -> 00 <-- ZERO
Movimento: R591    | 00 -> 91 
Movimento: L57     | 91 -> 34 
Movimento: R77     | 34 -> 11 
Movimento: L27     | 11 -> 84 
Movimento: R16     | 84 -> 00 <-- ZERO
Movimento: R11     | 00 -> 11 
Movimento: L3      | 11 -> 08 
Movimento: L8      | 08 -> 00 <-- ZERO
Movimento: L7      | 00 -> 93 
Movimento: L182    | 93 -> 11 
Movimento: R76     | 11 -> 87 
Movimento: L87     | 87 -> 00 <-- ZERO
Movimento: L34     | 00 -> 66 
Movimento: L93     | 66 -> 73 
Movimento: R73     | 73 -> 46 
Movimento: R98     | 46 -> 44 
Movimento: R49     | 44 -> 93 
Movimento: L93     | 93 -> 00 <-- ZERO
Movimento: L19     | 00 -> 81 
Movimento: L881    | 81 -> 00 <-- ZERO
Movimento: R76     | 00 -> 76 
Movimento: R24     | 76 -> 00 <-- ZERO
Movimento: L57     | 00 -> 43 
Movimento: R925    | 43 -> 68 
Movimento: R79     | 68 -> 47 
Movimento: R13     | 47 -> 60 
Movimento: R658    | 60 -> 18 
Movimento: R82     | 18 -> 00 <-- ZERO
Movimento: R84     | 00 -> 84 
Movimento: L41     | 84 -> 43 
Movimento: R357    | 43 -> 00 <-- ZERO
Movimento: R13     | 00 -> 13 
Movimento: L550    | 13 -> 63 
Movimento: L26     | 63 -> 37 
Movimento: L3      | 37 -> 34 
Movimento: R66     | 34 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: L44     | 41 -> 97 
Movimento: L760    | 97 -> 37 
Movimento: R63     | 37 -> 00 <-- ZERO
Movimento: L686    | 00 -> 14 
Movimento: L14     | 14 -> 00 <-- ZERO
Movimento: R96     | 00 -> 96 
Movimento: R19     | 96 -> 15 
Movimento: R85     | 15 -> 00 <-- ZERO
Movimento: L88     | 00 -> 12 
Movimento: R88     | 12 -> 00 <-- ZERO
Movimento: R36     | 00 -> 36 
Movimento: L13     | 36 -> 23 
Movimento: L473    | 23 -> 50 
Movimento: L5      | 50 -> 45 
Movimento: R45     | 45 -> 90 
Movimento: L90     | 90 -> 00 <-- ZERO
Movimento: L261    | 00 -> 39 
Movimento: L57     | 39 -> 82 
Movimento: R37     | 82 -> 19 
Movimento: R81     | 19 -> 00 <-- ZERO
Movimento: R27     | 00 -> 27 
Movimento: R81     | 27 -> 08 
Movimento: R92     | 08 -> 00 <-- ZERO
Movimento: R37     | 00 -> 37 
Movimento: L3      | 37 -> 34 
Movimento: R66     | 34 -> 00 <-- ZERO
Movimento: R857    | 00 -> 57 
Movimento: R81     | 57 -> 38 
Movimento: L38     | 38 -> 00 <-- ZERO
Movimento: L277    | 00 -> 23 
Movimento: R15     | 23 -> 38 
Movimento: R62     | 38 -> 00 <-- ZERO
Movimento: R38     | 00 -> 38 
Movimento: R62     | 38 -> 00 <-- ZERO
Movimento: R57     | 00 -> 57 
Movimento: L57     | 57 -> 00 <-- ZERO
Movimento: L28     | 00 -> 72 
Movimento: R82     | 72 -> 54 
Movimento: R46     | 54 -> 00 <-- ZERO
Movimento: R59     | 00 -> 59 
Movimento: L78     | 59 -> 81 
Movimento: L78     | 81 -> 03 
Movimento: L3      | 03 -> 00 <-- ZERO
Movimento: R44     | 00 -> 44 
Movimento: R45     | 44 -> 89 
Movimento: R84     | 89 -> 73 
Movimento: R512    | 73 -> 85 
Movimento: R12     | 85 -> 97 
Movimento: L27     | 97 -> 70 
Movimento: L7      | 70 -> 63 
Movimento: R83     | 63 -> 46 
Movimento: R86     | 46 -> 32 
Movimento: R68     | 32 -> 00 <-- ZERO
Movimento: R27     | 00 -> 27 
Movimento: L30     | 27 -> 97 
Movimento: R3      | 97 -> 00 <-- ZERO
Movimento: L45     | 00 -> 55 
Movimento: L66     | 55 -> 89 
Movimento: L789    | 89 -> 00 <-- ZERO
Movimento: L85     | 00 -> 15 
Movimento: R138    | 15 -> 53 
Movimento: L743    | 53 -> 10 
Movimento: L310    | 10 -> 00 <-- ZERO
Movimento: R95     | 00 -> 95 
Movimento: R5      | 95 -> 00 <-- ZERO
Movimento: R53     | 00 -> 53 
Movimento: R24     | 53 -> 77 
Movimento: R91     | 77 -> 68 
Movimento: L93     | 68 -> 75 
Movimento: L75     | 75 -> 00 <-- ZERO
Movimento: R85     | 00 -> 85 
Movimento: L95     | 85 -> 90 
Movimento: L90     | 90 -> 00 <-- ZERO
Movimento: R61     | 00 -> 61 
Movimento: L61     | 61 -> 00 <-- ZERO
Movimento: L35     | 00 -> 65 
Movimento: R35     | 65 -> 00 <-- ZERO
Movimento: L131    | 00 -> 69 
Movimento: R40     | 69 -> 09 
Movimento: L388    | 09 -> 21 
Movimento: R7      | 21 -> 28 
Movimento: L28     | 28 -> 00 <-- ZERO
Movimento: R33     | 00 -> 33 
Movimento: L33     | 33 -> 00 <-- ZERO
Movimento: L62     | 00 -> 38 
Movimento: L698    | 38 -> 40 
Movimento: L40     | 40 -> 00 <-- ZERO
Movimento: R363    | 00 -> 63 
Movimento: R670    | 63 -> 33 
Movimento: R365    | 33 -> 98 
Movimento: L98     | 98 -> 00 <-- ZERO
Movimento: L114    | 00 -> 86 
Movimento: L79     | 86 -> 07 
Movimento: R63     | 07 -> 70 
Movimento: R42     | 70 -> 12 
Movimento: R104    | 12 -> 16 
Movimento: L66     | 16 -> 50 
Movimento: R50     | 50 -> 00 <-- ZERO
Movimento: L62     | 00 -> 38 
Movimento: R16     | 38 -> 54 
Movimento: L54     | 54 -> 00 <-- ZERO
Movimento: R55     | 00 -> 55 
Movimento: R469    | 55 -> 24 
Movimento: L38     | 24 -> 86 
Movimento: R14     | 86 -> 00 <-- ZERO
Movimento: R92     | 00 -> 92 
Movimento: R88     | 92 -> 80 
Movimento: L80     | 80 -> 00 <-- ZERO
Movimento: R33     | 00 -> 33 
Movimento: R67     | 33 -> 00 <-- ZERO
Movimento: R29     | 00 -> 29 
Movimento: L29     | 29 -> 00 <-- ZERO
Movimento: R702    | 00 -> 02 
Movimento: L2      | 02 -> 00 <-- ZERO
Movimento: R40     | 00 -> 40 
Movimento: L48     | 40 -> 92 
Movimento: R8      | 92 -> 00 <-- ZERO
Movimento: L55     | 00 -> 45 
Movimento: R55     | 45 -> 00 <-- ZERO
Movimento: R8      | 00 -> 08 
Movimento: L21     | 08 -> 87 
Movimento: R65     | 87 -> 52 
Movimento: R91     | 52 -> 43 
Movimento: L824    | 43 -> 19 
Movimento: R95     | 19 -> 14 
Movimento: R817    | 14 -> 31 
Movimento: R21     | 31 -> 52 
Movimento: L18     | 52 -> 34 
Movimento: L6      | 34 -> 28 
Movimento: R78     | 28 -> 06 
Movimento: R46     | 06 -> 52 
Movimento: R98     | 52 -> 50 
Movimento: L97     | 50 -> 53 
Movimento: R55     | 53 -> 08 
Movimento: R312    | 08 -> 20 
Movimento: L74     | 20 -> 46 
Movimento: R654    | 46 -> 00 <-- ZERO
Movimento: L33     | 00 -> 67 
Movimento: L75     | 67 -> 92 
Movimento: L92     | 92 -> 00 <-- ZERO
Movimento: L16     | 00 -> 84 
Movimento: R59     | 84 -> 43 
Movimento: L94     | 43 -> 49 
Movimento: R917    | 49 -> 66 
Movimento: R69     | 66 -> 35 
Movimento: L38     | 35 -> 97 
Movimento: L23     | 97 -> 74 
Movimento: L74     | 74 -> 00 <-- ZERO
Movimento: R15     | 00 -> 15 
Movimento: R456    | 15 -> 71 
Movimento: L44     | 71 -> 27 
Movimento: R85     | 27 -> 12 
Movimento: R288    | 12 -> 00 <-- ZERO
Movimento: R98     | 00 -> 98 
Movimento: R721    | 98 -> 19 
Movimento: R61     | 19 -> 80 
Movimento: L44     | 80 -> 36 
Movimento: L31     | 36 -> 05 
Movimento: L98     | 05 -> 07 
Movimento: L25     | 07 -> 82 
Movimento: R81     | 82 -> 63 
Movimento: R37     | 63 -> 00 <-- ZERO
Movimento: R22     | 00 -> 22 
Movimento: R74     | 22 -> 96 
Movimento: R53     | 96 -> 49 
Movimento: R77     | 49 -> 26 
Movimento: L26     | 26 -> 00 <-- ZERO
Movimento: R74     | 00 -> 74 
Movimento: L74     | 74 -> 00 <-- ZERO
Movimento: L37     | 00 -> 63 
Movimento: L33     | 63 -> 30 
Movimento: L52     | 30 -> 78 
Movimento: R34     | 78 -> 12 
Movimento: L218    | 12 -> 94 
Movimento: L96     | 94 -> 98 
Movimento: L12     | 98 -> 86 
Movimento: R807    | 86 -> 93 
Movimento: R32     | 93 -> 25 
Movimento: L25     | 25 -> 00 <-- ZERO
Movimento: L86     | 00 -> 14 
Movimento: L8      | 14 -> 06 
Movimento: R573    | 06 -> 79 
Movimento: L79     | 79 -> 00 <-- ZERO
Movimento: L83     | 00 -> 17 
Movimento: L78     | 17 -> 39 
Movimento: L39     | 39 -> 00 <-- ZERO
Movimento: R643    | 00 -> 43 
Movimento: L32     | 43 -> 11 
Movimento: R89     | 11 -> 00 <-- ZERO
Movimento: R87     | 00 -> 87 
Movimento: L58     | 87 -> 29 
Movimento: L872    | 29 -> 57 
Movimento: R26     | 57 -> 83 
Movimento: R14     | 83 -> 97 
Movimento: L97     | 97 -> 00 <-- ZERO
Movimento: R99     | 00 -> 99 
Movimento: L99     | 99 -> 00 <-- ZERO
Movimento: R42     | 00 -> 42 
Movimento: R58     | 42 -> 00 <-- ZERO
Movimento: R2      | 00 -> 02 
Movimento: L67     | 02 -> 35 
Movimento: R90     | 35 -> 25 
Movimento: R75     | 25 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: R31     | 69 -> 00 <-- ZERO
Movimento: L57     | 00 -> 43 
Movimento: L643    | 43 -> 00 <-- ZERO
Movimento: L543    | 00 -> 57 
Movimento: L57     | 57 -> 00 <-- ZERO
Movimento: L52     | 00 -> 48 
Movimento: L85     | 48 -> 63 
Movimento: R31     | 63 -> 94 
Movimento: L74     | 94 -> 20 
Movimento: R72     | 20 -> 92 
Movimento: R8      | 92 -> 00 <-- ZERO
Movimento: R7      | 00 -> 07 
Movimento: R64     | 07 -> 71 
Movimento: R9      | 71 -> 80 
Movimento: R95     | 80 -> 75 
Movimento: R25     | 75 -> 00 <-- ZERO
Movimento: R31     | 00 -> 31 
Movimento: L64     | 31 -> 67 
Movimento: R681    | 67 -> 48 
Movimento: R52     | 48 -> 00 <-- ZERO
Movimento: R84     | 00 -> 84 
Movimento: L84     | 84 -> 00 <-- ZERO
Movimento: L71     | 00 -> 29 
Movimento: L17     | 29 -> 12 
Movimento: R639    | 12 -> 51 
Movimento: R49     | 51 -> 00 <-- ZERO
Movimento: L35     | 00 -> 65 
Movimento: L27     | 65 -> 38 
Movimento: R53     | 38 -> 91 
Movimento: L81     | 91 -> 10 
Movimento: R51     | 10 -> 61 
Movimento: R29     | 61 -> 90 
Movimento: L90     | 90 -> 00 <-- ZERO
Movimento: R41     | 00 -> 41 
Movimento: L51     | 41 -> 90 
Movimento: L60     | 90 -> 30 
Movimento: L938    | 30 -> 92 
Movimento: L698    | 92 -> 94 
Movimento: L381    | 94 -> 13 
Movimento: R87     | 13 -> 00 <-- ZERO
Movimento: R26     | 00 -> 26 
Movimento: L90     | 26 -> 36 
Movimento: L3      | 36 -> 33 
Movimento: R27     | 33 -> 60 
Movimento: R85     | 60 -> 45 
Movimento: L45     | 45 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L17     | 10 -> 93 
Movimento: L93     | 93 -> 00 <-- ZERO
Movimento: R314    | 00 -> 14 
Movimento: L14     | 14 -> 00 <-- ZERO
Movimento: L5      | 00 -> 95 
Movimento: R129    | 95 -> 24 
Movimento: L2      | 24 -> 22 
Movimento: L22     | 22 -> 00 <-- ZERO
Movimento: L42     | 00 -> 58 
Movimento: L28     | 58 -> 30 
Movimento: R70     | 30 -> 00 <-- ZERO
Movimento: L46     | 00 -> 54 
Movimento: L43     | 54 -> 11 
Movimento: R47     | 11 -> 58 
Movimento: R81     | 58 -> 39 
Movimento: R8      | 39 -> 47 
Movimento: L827    | 47 -> 20 
Movimento: L603    | 20 -> 17 
Movimento: R49     | 17 -> 66 
Movimento: L46     | 66 -> 20 
Movimento: L73     | 20 -> 47 
Movimento: R383    | 47 -> 30 
Movimento: R879    | 30 -> 09 
Movimento: L34     | 09 -> 75 
Movimento: L12     | 75 -> 63 
Movimento: R606    | 63 -> 69 
Movimento: R11     | 69 -> 80 
Movimento: L3      | 80 -> 77 
Movimento: R74     | 77 -> 51 
Movimento: R23     | 51 -> 74 
Movimento: R13     | 74 -> 87 
Movimento: R71     | 87 -> 58 
Movimento: R42     | 58 -> 00 <-- ZERO
Movimento: R41     | 00 -> 41 
Movimento: R7      | 41 -> 48 
Movimento: R39     | 48 -> 87 
Movimento: R274    | 87 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: R31     | 00 -> 31 
Movimento: L85     | 31 -> 46 
Movimento: R54     | 46 -> 00 <-- ZERO
Movimento: L14     | 00 -> 86 
Movimento: R276    | 86 -> 62 
Movimento: R582    | 62 -> 44 
Movimento: L44     | 44 -> 00 <-- ZERO
Movimento: L839    | 00 -> 61 
Movimento: L87     | 61 -> 74 
Movimento: L74     | 74 -> 00 <-- ZERO
Movimento: R75     | 00 -> 75 
Movimento: R20     | 75 -> 95 
Movimento: R5      | 95 -> 00 <-- ZERO
Movimento: L955    | 00 -> 45 
Movimento: L6      | 45 -> 39 
Movimento: L23     | 39 -> 16 
Movimento: L16     | 16 -> 00 <-- ZERO
Movimento: R3      | 00 -> 03 
Movimento: R60     | 03 -> 63 
Movimento: R28     | 63 -> 91 
Movimento: L98     | 91 -> 93 
Movimento: L61     | 93 -> 32 
Movimento: L133    | 32 -> 99 
Movimento: R388    | 99 -> 87 
Movimento: L90     | 87 -> 97 
Movimento: L40     | 97 -> 57 
Movimento: L57     | 57 -> 00 <-- ZERO
Movimento: R64     | 00 -> 64 
Movimento: R368    | 64 -> 32 
Movimento: L32     | 32 -> 00 <-- ZERO
Movimento: L80     | 00 -> 20 
Movimento: R380    | 20 -> 00 <-- ZERO
Movimento: L70     | 00 -> 30 
